function,module,impl,variant,count,min_ns,mean_ns,median_ns,p95_ns,isolation,check_ok
triArea2D,math,orig,ReleaseFast,17003328,1.05,1.42,1.38,1.73,A,yes
closestPtPointTriangle,math,orig,ReleaseFast,960320,20.07,21.42,21.21,23.37,A,yes
intersectSegSeg2D,math,orig,ReleaseFast,18060032,1.26,1.65,1.60,2.44,A,yes
overlapPolyPoly2D,math,orig,ReleaseFast,384128,40.65,50.13,51.35,61.13,A,yes
calcPolyCenter,math,orig,ReleaseFast,18054016,1.06,1.22,1.17,1.57,A,yes
vsub,math,orig,ReleaseFast,10759168,1.05,1.25,1.24,1.50,A,yes
vadd,math,orig,ReleaseFast,18054016,1.05,1.32,1.32,1.60,A,yes
vscale,math,orig,ReleaseFast,33035008,1.04,1.16,1.16,1.31,A,yes
vmad,math,orig,ReleaseFast,24584192,1.05,1.19,1.18,1.44,A,yes
vcopy,math,orig,ReleaseFast,18438144,1.04,1.32,1.32,1.59,A,yes
vequal,math,orig,ReleaseFast,24584192,1.04,1.20,1.17,1.40,A,yes
vmin,math,orig,ReleaseFast,16133376,1.04,1.17,1.15,1.38,A,yes
vmax,math,orig,ReleaseFast,21511168,1.06,1.18,1.16,1.47,A,yes
vlen,math,orig,ReleaseFast,15749248,1.13,1.47,1.44,1.90,A,yes
vlenSqr,math,orig,ReleaseFast,12064064,1.25,1.50,1.40,2.12,A,yes
vdot,math,orig,ReleaseFast,18438144,1.06,1.30,1.27,1.54,A,yes
vcross,math,orig,ReleaseFast,17003328,1.05,1.19,1.15,1.60,A,yes
vlerp,math,orig,ReleaseFast,12100032,1.05,1.31,1.26,1.78,A,yes
vnormalize,math,orig,ReleaseFast,21895296,1.73,2.09,2.10,2.30,A,yes
vperp2D,math,orig,ReleaseFast,18054016,1.05,1.28,1.25,1.57,A,yes
vdist,math,orig,ReleaseFast,17003328,1.13,1.45,1.39,1.92,A,yes
vdistSqr,math,orig,ReleaseFast,15178112,1.25,1.47,1.42,1.84,A,yes
vdist2D,math,orig,ReleaseFast,24584192,1.08,1.40,1.31,1.89,A,yes
vdist2DSqr,math,orig,ReleaseFast,17669888,1.25,1.58,1.53,2.27,A,yes
distancePtSegSqr2D,math,orig,ReleaseFast,27657216,1.05,1.41,1.40,1.77,A,yes
closestHeightPointTriangle,math,orig,ReleaseFast,9030016,1.31,2.09,2.21,2.62,A,yes
pointInPolygon,math,orig,ReleaseFast,18630208,1.05,1.39,1.41,1.59,A,yes
overlapQuantBounds,math,orig,ReleaseFast,17489472,1.05,1.17,1.15,1.38,A,yes
nextPow2,math,orig,ReleaseFast,14788928,1.27,1.48,1.47,1.71,A,yes
ilog2,math,orig,ReleaseFast,16517504,1.04,1.14,1.11,1.33,A,yes
align4,math,orig,ReleaseFast,24584192,1.04,1.16,1.14,1.35,A,yes
triArea2D,math,fma,ReleaseFast,24584192,1.27,1.54,1.55,1.83,A,no
ilog2,math,clz,ReleaseFast,15749248,1.05,1.15,1.15,1.27,A,yes
nextPow2,math,clz,ReleaseFast,18438144,1.04,1.19,1.16,1.38,A,yes
overlapQuantBounds,math,and-chain,ReleaseFast,17477824,1.04,1.19,1.17,1.37,A,yes
vdot,math,fma,ReleaseFast,11715904,1.25,1.66,1.71,2.05,A,no
vmad,math,fma,ReleaseFast,24584192,1.27,1.48,1.43,1.77,A,no
