module,file,line,visibility,name,class,prerequisites,improvable,signature_head
recast,src/recast/area.zig,17,priv,insertSort,A,plain value/slice inputs,maybe,fn insertSort(data: []u8) void 
recast,src/recast/area.zig,33,priv,pointInPoly,A,plain value/slice inputs,maybe,fn pointInPoly(num_verts: usize; verts: []const f32; point: Vec3) bool 
recast,src/recast/area.zig,65,priv,vsafeNormalize,A,plain value/slice inputs,maybe,fn vsafeNormalize(v: *Vec3) void 
recast,src/recast/area.zig,79,pub,erodeWalkableArea,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn erodeWalkableArea(
recast,src/recast/area.zig,291,pub,medianFilterWalkableArea,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn medianFilterWalkableArea(
recast,src/recast/area.zig,365,pub,markBoxArea,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn markBoxArea(
recast,src/recast/area.zig,429,pub,markConvexPolyArea,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn markConvexPolyArea(
recast,src/recast/area.zig,513,pub,markCylinderArea,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn markCylinderArea(
recast,src/recast/area.zig,600,pub,offsetPoly,C,public helper; needs enclosing-stage context,maybe,pub fn offsetPoly(
recast,src/recast/compact.zig,26,pub,getHeightFieldSpanCount,D,lifecycle/dispatch or allocator-driven state,no,pub fn getHeightFieldSpanCount(ctx: *const Context; heightfield: *const Heightfield) usize
recast,src/recast/compact.zig,53,pub,buildCompactHeightfield,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn buildCompactHeightfield(
recast,src/recast/config.zig,64,pub,calcBounds,B,region-partitioned pipeline state (run prereq chain once),maybe, pub fn calcBounds(verts: []const Vec3; min_bounds: *Vec3; max_bounds: *Vec3) void 
recast,src/recast/config.zig,76,pub,calcGridSize,B,region-partitioned pipeline state (run prereq chain once),maybe, pub fn calcGridSize(min_bounds: Vec3; max_bounds: Vec3; cell_size: f32; size_x: *i32; siz
recast,src/recast/contour.zig,25,priv,getCornerHeight,D,lifecycle/dispatch or allocator-driven state,no,fn getCornerHeight(
recast,src/recast/contour.zig,107,priv,walkContour,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn walkContour(
recast,src/recast/contour.zig,211,pub,distancePtSeg,A,plain value/slice inputs,maybe,pub fn distancePtSeg(x: i32; z: i32; px: i32; pz: i32; qx: i32; qz: i32) f32 
recast,src/recast/contour.zig,241,pub,simplifyContour,C,public helper; needs enclosing-stage context,maybe,pub fn simplifyContour(
recast,src/recast/contour.zig,472,priv,vequal,A,plain value/slice inputs,no,fn vequal(a: []const i32; b: []const i32) bool 
recast,src/recast/contour.zig,477,priv,removeDegenerateSegments,D,lifecycle/dispatch or allocator-driven state,no,fn removeDegenerateSegments(simplified: *std.array_list.Managed(i32)) void 
recast,src/recast/contour.zig,501,priv,calcAreaOfPolygon2D,A,plain value/slice inputs,maybe,fn calcAreaOfPolygon2D(verts: []const i32; nverts: usize) i32 
recast,src/recast/contour.zig,551,priv,intersectProp,A,plain value/slice inputs,maybe,fn intersectProp(a: []const i32; b: []const i32; c: []const i32; d: []const i32) bool 
recast,src/recast/contour.zig,561,priv,between,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn between(a: []const i32; b: []const i32; c: []const i32) bool 
recast,src/recast/contour.zig,573,priv,intersect,A,plain value/slice inputs,maybe,fn intersect(a: []const i32; b: []const i32; c: []const i32; d: []const i32) bool 
recast,src/recast/contour.zig,584,priv,intersectSegContour,A,plain value/slice inputs,maybe,fn intersectSegContour(d0: []const i32; d1: []const i32; i: i32; n: i32; verts: []const i3
recast,src/recast/contour.zig,608,priv,inCone,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn inCone(i: i32; n: i32; verts: []const i32; pj: []const i32) bool 
recast,src/recast/contour.zig,626,pub,buildContours,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn buildContours(
recast,src/recast/contour.zig,922,priv,findLeftMostVertex,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn findLeftMostVertex(contour: *const Contour) struct 
recast,src/recast/contour.zig,941,priv,compareHoles,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn compareHoles(_: void; a: ContourHole; b: ContourHole) bool 
recast,src/recast/contour.zig,949,priv,compareDiagonals,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn compareDiagonals(_: void; a: PotentialDiagonal; b: PotentialDiagonal) bool 
recast,src/recast/contour.zig,954,priv,mergeContours,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn mergeContours(
recast,src/recast/contour.zig,989,priv,mergeRegionHoles,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn mergeRegionHoles(
recast,src/recast/detail.zig,71,priv,circumCircle,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn circumCircle(
recast,src/recast/detail.zig,103,priv,distPtTri,A,plain value/slice inputs,maybe,fn distPtTri(p: [*]const f32; a: [*]const f32; b: [*]const f32; c: [*]const f32) f32 
recast,src/recast/detail.zig,127,priv,distancePtSeg,A,plain value/slice inputs,maybe,fn distancePtSeg(x: f32; z: f32; px: f32; pz: f32; qx: f32; qz: f32) f32 
recast,src/recast/detail.zig,143,priv,distancePtSeg3d,A,plain value/slice inputs,maybe,fn distancePtSeg3d(pt: [*]const f32; p: [*]const f32; q: [*]const f32) f32 
recast,src/recast/detail.zig,166,priv,distancePtSeg2d,A,plain value/slice inputs,maybe,fn distancePtSeg2d(pt: [*]const f32; p: [*]const f32; q: [*]const f32) f32 
recast,src/recast/detail.zig,186,priv,distToTriMesh,A,plain value/slice inputs,maybe,fn distToTriMesh(
recast,src/recast/detail.zig,207,priv,distToPoly,A,plain value/slice inputs,maybe,fn distToPoly(nin: i32; inv: [*]const f32; p: [*]const f32) f32 
recast,src/recast/detail.zig,229,priv,polyMinExtent,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn polyMinExtent(verts: [*]const f32; nverts: i32) f32 
recast,src/recast/detail.zig,293,priv,getHeight,D,lifecycle/dispatch or allocator-driven state,no,fn getHeight(
recast,src/recast/detail.zig,365,priv,findEdge,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn findEdge(edges: []const i32; nedges: i32; s: i32; t: i32) i32 
recast,src/recast/detail.zig,377,priv,addEdge,D,lifecycle/dispatch or allocator-driven state,no,fn addEdge(
recast,src/recast/detail.zig,407,priv,updateLeftFace,D,lifecycle/dispatch or allocator-driven state,no,fn updateLeftFace(e: []i32; s: i32; t: i32; f: i32) void 
recast,src/recast/detail.zig,416,priv,overlapSegSeg2d,A,plain value/slice inputs,maybe,fn overlapSegSeg2d(a: [*]const f32; b: [*]const f32; c: [*]const f32; d: [*]const f32) boo
recast,src/recast/detail.zig,430,priv,overlapEdges,A,plain value/slice inputs,maybe,fn overlapEdges(pts: [*]const f32; edges: []const i32; nedges: i32; s1: i32; t1: i32) bool
recast,src/recast/detail.zig,451,priv,completeFacet,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn completeFacet(
recast,src/recast/detail.zig,539,priv,delaunayHull,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn delaunayHull(
recast,src/recast/detail.zig,627,priv,onHull,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn onHull(a: i32; b: i32; nhull: i32; hull: []const i32) bool 
recast,src/recast/detail.zig,644,priv,setTriFlags,D,lifecycle/dispatch or allocator-driven state,no,fn setTriFlags(tris: *std.array_list.Managed(i32); nhull: i32; hull: []const i32) void 
recast,src/recast/detail.zig,659,priv,triangulateHull,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn triangulateHull(
recast,src/recast/detail.zig,669,priv,f,C,internal to enclosing stage (drive via stage or reconstruct args),maybe, fn f(i: i32; n: i32) i32 
recast,src/recast/detail.zig,675,priv,f,C,internal to enclosing stage (drive via stage or reconstruct args),maybe, fn f(i: i32; n: i32) i32 
recast,src/recast/detail.zig,749,priv,seedArrayWithPolyCenter,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn seedArrayWithPolyCenter(
recast,src/recast/detail.zig,894,priv,getHeightData,D,lifecycle/dispatch or allocator-driven state,no,fn getHeightData(
recast,src/recast/detail.zig,1006,priv,buildPolyDetail,C,internal to enclosing stage (drive via stage or reconstruct args),maybe,fn buildPolyDetail(
recast,src/recast/detail.zig,1261,pub,buildPolyMeshDetail,B,region-partitioned pipeline state (run prereq chain once),maybe,pub fn buildPolyMeshDetail(
